{u'Name': u'NAD to DZD', u'Bid': u'7.4358', u'Ask': u'7.5755', u'Rate': u'7.5053', u'Time': u'8:46pm', u'Date': u'11/7/2014', u'id': u'NADDZD'}
{u'Name': u'GHS to DZD', u'Bid': u'26.1824', u'Ask': u'26.5207', u'Rate': u'26.3513', u'Time': u'8:46pm', u'Date': u'11/7/2014', u'id': u'GHSDZD'}
{u'Name': u'GHS to NAD', u'Bid': u'3.4899', u'Ask': u'3.5321', u'Rate': u'3.511', u'Time': u'8:43pm', u'Date': u'11/7/2014', u'id': u'GHSNAD'}
{u'Name': u'EGP to DZD', u'Bid': u'11.7107', u'Ask': u'11.8922', u'Rate': u'11.8012', u'Time': u'8:46pm', u'Date': u'11/7/2014', u'id': u'EGPDZD'}
{u'Name': u'EGP to NAD', u'Bid': u'1.561', u'Ask': u'1.5839', u'Rate': u'1.5724', u'Time': u'8:45pm', u'Date': u'11/7/2014', u'id': u'EGPNAD'}
{u'Name': u'EGP to GHS', u'Bid': u'0.4459', u'Ask': u'0.4498', u'Rate': u'0.4478', u'Time': u'8:45pm', u'Date': u'11/7/2014', u'id': u'EGPGHS'}
{u'Name': u'BGN to DZD', u'Bid': u'53.4054', u'Ask': u'54.272', u'Rate': u'53.8373', u'Time': u'8:46pm', u'Date': u'11/7/2014', u'id': u'BGNDZD'}
{u'Name': u'BGN to NAD', u'Bid': u'7.1186', u'Ask': u'7.2282', u'Rate': u'7.1732', u'Time': u'8:43pm', u'Date': u'11/7/2014', u'id': u'BGNNAD'}
{u'Name': u'BGN to GHS', u'Bid': u'2.0334', u'Ask': u'2.0528', u'Rate': u'2.0431', u'Time': u'8:43pm', u'Date': u'11/7/2014', u'id': u'BGNGHS'}
{u'Name': u'BGN to EGP', u'Bid': u'4.5346', u'Ask': u'4.5896', u'Rate': u'4.562', u'Time': u'8:45pm', u'Date': u'11/7/2014', u'id': u'BGNEGP'}
{u'Name': u'PAB to DZD', u'Bid': u'83.98', u'Ask': u'84.80', u'Rate': u'84.39', u'Time': u'8:46pm', u'Date': u'11/7/2014', u'id': u'PABDZD'}
{u'Name': u'PAB to NAD', u'Bid': u'11.194', u'Ask': u'11.294', u'Rate': u'11.244', u'Time': u'8:43pm', u'Date': u'11/7/2014', u'id': u'PABNAD'}
{u'Name': u'PAB to GHS', u'Bid': u'3.1975', u'Ask': u'3.2075', u'Rate': u'3.2025', u'Time': u'8:43pm', u'Date': u'11/7/2014', u'id': u'PABGHS'}
{u'Name': u'PAB to EGP', u'Bid': u'7.1307', u'Ask': u'7.1712', u'Rate': u'7.1509', u'Time': u'8:45pm', u'Date': u'11/7/2014', u'id': u'PABEGP'}
{u'Name': u'PAB to BGN', u'Bid': u'1.5625', u'Ask': u'1.5725', u'Rate': u'1.5675', u'Time': u'8:43pm', u'Date': u'11/7/2014', u'id': u'PABBGN'}
{u'Name': u'BOB to DZD', u'Bid': u'12.0661', u'Ask': u'12.3615', u'Rate': u'12.2127', u'Time': u'8:46pm', u'Date': u'11/7/2014', u'id': u'BOBDZD'}
{u'Name': u'BOB to NAD', u'Bid': u'1.6083', u'Ask': u'1.6464', u'Rate': u'1.6272', u'Time': u'8:43pm', u'Date': u'11/7/2014', u'id': u'BOBNAD'}
{u'Name': u'BOB to GHS', u'Bid': u'0.4594', u'Ask': u'0.4676', u'Rate': u'0.4635', u'Time': u'8:43pm', u'Date': u'11/7/2014', u'id': u'BOBGHS'}
{u'Name': u'BOB to EGP', u'Bid': u'1.0245', u'Ask': u'1.0454', u'Rate': u'1.0349', u'Time': u'8:45pm', u'Date': u'11/7/2014', u'id': u'BOBEGP'}
{u'Name': u'BOB to BGN', u'Bid': u'0.2245', u'Ask': u'0.2292', u'Rate': u'0.2268', u'Time': u'8:43pm', u'Date': u'11/7/2014', u'id': u'BOBBGN'}
{u'Name': u'BOB to PAB', u'Bid': u'0.1437', u'Ask': u'0.1458', u'Rate': u'0.1447', u'Time': u'8:43pm', u'Date': u'11/7/2014', u'id': u'BOBPAB'}
{u'Name': u'DKK to DZD', u'Bid': u'13.9692', u'Ask': u'14.1173', u'Rate': u'14.0432', u'Time': u'8:46pm', u'Date': u'11/7/2014', u'id': u'DKKDZD'}
{u'Name': u'DKK to NAD', u'Bid': u'1.862', u'Ask': u'1.8802', u'Rate': u'1.8711', u'Time': u'8:46pm', u'Date': u'11/7/2014', u'id': u'DKKNAD'}
{u'Name': u'DKK to GHS', u'Bid': u'0.5319', u'Ask': u'0.534', u'Rate': u'0.5329', u'Time': u'8:46pm', u'Date': u'11/7/2014', u'id': u'DKKGHS'}
{u'Name': u'DKK to EGP', u'Bid': u'1.1861', u'Ask': u'1.1938', u'Rate': u'1.19', u'Time': u'8:46pm', u'Date': u'11/7/2014', u'id': u'DKKEGP'}
{u'Name': u'DKK to BGN', u'Bid': u'0.2599', u'Ask': u'0.2618', u'Rate': u'0.2608', u'Time': u'8:46pm', u'Date': u'11/7/2014', u'id': u'DKKBGN'}
{u'Name': u'DKK to PAB', u'Bid': u'0.1663', u'Ask': u'0.1665', u'Rate': u'0.1664', u'Time': u'8:46pm', u'Date': u'11/7/2014', u'id': u'DKKPAB'}
{u'Name': u'DKK to BOB', u'Bid': u'1.1411', u'Ask': u'1.1587', u'Rate': u'1.1499', u'Time': u'8:46pm', u'Date': u'11/7/2014', u'id': u'DKKBOB'}
{u'Name': u'BWP to DZD', u'Bid': u'9.0818', u'Ask': u'9.1804', u'Rate': u'9.131', u'Time': u'8:46pm', u'Date': u'11/7/2014', u'id': u'BWPDZD'}
{u'Name': u'BWP to NAD', u'Bid': u'1.2105', u'Ask': u'1.2227', u'Rate': u'1.2166', u'Time': u'8:43pm', u'Date': u'11/7/2014', u'id': u'BWPNAD'}
{u'Name': u'BWP to GHS', u'Bid': u'0.3458', u'Ask': u'0.3472', u'Rate': u'0.3465', u'Time': u'8:43pm', u'Date': u'11/7/2014', u'id': u'BWPGHS'}
{u'Name': u'BWP to EGP', u'Bid': u'0.7711', u'Ask': u'0.7763', u'Rate': u'0.7737', u'Time': u'8:45pm', u'Date': u'11/7/2014', u'id': u'BWPEGP'}
{u'Name': u'BWP to BGN', u'Bid': u'0.169', u'Ask': u'0.1702', u'Rate': u'0.1696', u'Time': u'8:43pm', u'Date': u'11/7/2014', u'id': u'BWPBGN'}
{u'Name': u'BWP to PAB', u'Bid': u'0.1081', u'Ask': u'0.1083', u'Rate': u'0.1082', u'Time': u'8:43pm', u'Date': u'11/7/2014', u'id': u'BWPPAB'}
{u'Name': u'BWP to BOB', u'Bid': u'0.7419', u'Ask': u'0.7535', u'Rate': u'0.7477', u'Time': u'8:43pm', u'Date': u'11/7/2014', u'id': u'BWPBOB'}
